symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCD,2016-10-06 00:00:00+00:00,113.92,114.22,112.4,113.25,3899954,101.7481271195,102.0160733812,100.3905327268,101.1497138016,3899954,0.0,1.0
MCD,2016-10-07 00:00:00+00:00,113.45,114.34,113.22,113.97,4153139,101.3283446428,102.1232518859,101.1229191755,101.7927848298,4153139,0.0,1.0
MCD,2016-10-10 00:00:00+00:00,114.71,114.99,114.16,114.21,3290302,102.453718942,102.7038021197,101.9624841289,102.0071418392,3290302,0.0,1.0
MCD,2016-10-11 00:00:00+00:00,113.68,115.23,113.56,114.65,3943130,101.5337701101,102.918159129,101.4265916054,102.4001296897,3943130,0.0,1.0
MCD,2016-10-12 00:00:00+00:00,114.71,115.23,113.54,113.6,3340166,102.453718942,102.918159129,101.4087285213,101.4623177737,3340166,0.0,1.0
MCD,2016-10-13 00:00:00+00:00,115.41,115.74,114.07,114.14,4464728,103.0789268861,103.373667774,101.8821002504,101.9446210448,4464728,0.0,1.0
MCD,2016-10-14 00:00:00+00:00,114.09,115.11,114.07,114.9,5311482,101.8999633345,102.8109806243,101.8821002504,102.6234182411,5311482,0.0,1.0
MCD,2016-10-17 00:00:00+00:00,112.41,114.395,112.1,113.91,5655748,100.3994642688,102.1723753672,100.122586465,101.7391955774,5655748,0.0,1.0
MCD,2016-10-18 00:00:00+00:00,111.25,113.09,111.23,112.89,6198363,99.3634053901,101.0068091287,99.345542306,100.8281782876,6198363,0.0,1.0
MCD,2016-10-19 00:00:00+00:00,111.26,111.77,111.12,111.71,6433443,99.3723369322,99.8278455771,99.2472953434,99.7742563248,6433443,0.0,1.0
MCD,2016-10-20 00:00:00+00:00,110.57,111.3,110.33,111.3,7238330,98.7560605302,99.4080631004,98.5417035208,99.4080631004,7238330,0.0,1.0
MCD,2016-10-21 00:00:00+00:00,113.93,114.5,112.75,113.27,10107761,101.7570586616,102.2661565588,100.7031366988,101.1675768858,10107761,0.0,1.0
MCD,2016-10-24 00:00:00+00:00,113.57,114.5,112.64,114.25,6173488,101.4355231475,102.2661565588,100.6048897361,102.0428680074,6173488,0.0,1.0
MCD,2016-10-25 00:00:00+00:00,112.72,113.54,112.67,113.5,4878930,100.6763420726,101.4087285213,100.6316843623,101.3730023531,4878930,0.0,1.0
MCD,2016-10-26 00:00:00+00:00,112.11,112.7,111.4,112.27,3763114,100.1315180071,100.6584789885,99.497378521,100.27442268,3763114,0.0,1.0
MCD,2016-10-27 00:00:00+00:00,112.08,112.49,111.78,112.17,2960726,100.1047233809,100.4709166053,99.8367771192,100.1851072594,2960726,0.0,1.0
MCD,2016-10-28 00:00:00+00:00,112.1,112.35,111.53,112.26,3304386,100.122586465,100.3458750165,99.6134885677,100.2654911379,3304386,0.0,1.0
MCD,2016-10-31 00:00:00+00:00,112.57,112.73,111.79,112.46,4181575,100.5423689417,100.6852736147,99.8457086612,100.4441219791,4181575,0.0,1.0
MCD,2016-11-01 00:00:00+00:00,112.25,112.7699,111.95,112.65,3935634,100.2565595959,100.7209104675,99.9886133342,100.6138212782,3935634,0.0,1.0
MCD,2016-11-02 00:00:00+00:00,112.39,112.77,111.82,112.1,3512534,100.3816011847,100.7209997829,99.8725032874,100.122586465,3512534,0.0,1.0
MCD,2016-11-03 00:00:00+00:00,111.72,112.85,111.52,112.74,3890162,99.7831878668,100.7924521193,99.6045570257,100.6942051567,3890162,0.0,1.0
MCD,2016-11-04 00:00:00+00:00,111.04,112.0,110.83,111.99,3457185,99.1758430069,100.0332710445,98.9882806237,100.0243395024,3457185,0.0,1.0
MCD,2016-11-07 00:00:00+00:00,112.82,113.28,111.88,112.0,3842380,100.7656574932,101.1765084278,99.9260925398,100.0332710445,3842380,0.0,1.0
MCD,2016-11-08 00:00:00+00:00,114.11,114.25,113.0,113.01,3299857,101.9178264186,102.0428680074,100.9264252502,100.9353567923,3299857,0.0,1.0
MCD,2016-11-09 00:00:00+00:00,114.98,115.42,111.8,112.09,5099493,102.6948705776,103.0878584281,99.8546402033,100.113654923,5099493,0.0,1.0
MCD,2016-11-10 00:00:00+00:00,114.51,115.04,113.7834,115.03,4437689,102.2750881009,102.7484598299,101.626122255,102.7395282879,4437689,0.0,1.0
MCD,2016-11-11 00:00:00+00:00,114.22,114.96,114.17,114.67,4331192,102.0160733812,102.6770074935,101.9714156709,102.4179927738,4331192,0.0,1.0
MCD,2016-11-14 00:00:00+00:00,117.86,118.75,114.72,114.99,7093249,105.2671546902,106.0620619333,102.4626504841,102.7038021197,7093249,0.0,1.0
MCD,2016-11-15 00:00:00+00:00,118.32,118.48,117.02,117.58,4447865,105.6780056248,105.8209102977,104.5169051573,105.0170715126,4447865,0.0,1.0
MCD,2016-11-16 00:00:00+00:00,119.21,119.6,118.465,118.86,5370685,106.4729128679,106.8212430082,105.8075129847,106.1603088959,5370685,0.0,1.0
MCD,2016-11-17 00:00:00+00:00,119.45,119.5,118.28,118.89,2836445,106.6872698773,106.7319275876,105.6422794566,106.1871035221,2836445,0.0,1.0
MCD,2016-11-18 00:00:00+00:00,120.0,120.24,118.907,119.26,3655358,107.1785046905,107.3928616999,106.2022871436,106.5175705782,3655358,0.0,1.0
MCD,2016-11-21 00:00:00+00:00,119.5,120.5,118.96,119.8,3603269,106.7319275876,107.6250817934,106.2496243165,106.9998738493,3603269,0.0,1.0
MCD,2016-11-22 00:00:00+00:00,119.69,120.29,118.88,119.5,3699103,106.9016268867,107.4375194102,106.17817198,106.7319275876,3699103,0.0,1.0
